fecha,source,medium,campaign,eventos,usuarios,sesiones,pageviews,nuevos_usuarios
20250123,search,paid,auto-por-kilometro,107,104,107,410,93
20250123,syndicatedsearch.goog,referral,(referral),1,1,1,2,0
20250123,insights.hotjar.com,referral,(referral),1,1,1,6,0
20250123,google,(not set),(not set),2,1,2,18,0
20250123,facebook.com,referral,(referral),1,1,1,2,1
20250123,bing,organic,(organic),2,2,2,12,0
20250123,facebook,cpl,trafico_SegurosYap,1,1,1,2,0
20250123,selfadjust.bdeo.es,referral,(referral),5,5,5,26,1
20250123,search,paid,moto-por-kilomertro,10,9,10,42,8
20250123,google,organic,(organic),17,12,17,107,5
20250123,(not set),(not set),(not set),24,17,24,156,11
20250123,search,paid,auto-tradicional,29,27,29,340,25
20250123,accounts.google.com,referral,(referral),5,3,5,59,1
20250124,facebook,cpl,trafico_SegurosYap,5,4,5,7,2
20250124,bing,organic,(organic),6,1,6,57,0
20250124,accounts.google.com.gt,referral,(referral),2,1,2,21,1
20250124,selfadjust.bdeo.es,referral,(referral),4,2,4,35,0
20250124,accounts.google.com,referral,(referral),7,4,7,63,0
20250124,m.facebook.com,referral,(referral),1,1,1,7,1
20250124,google,organic,(organic),16,12,16,99,2
20250124,(not set),(not set),(not set),32,26,32,152,15
20250124,search,paid,auto-tradicional,28,28,28,202,27
20250124,search,paid,auto-por-kilometro,314,304,314,941,293
20250124,search,paid,moto-por-kilomertro,7,7,7,80,6
20250125,accounts.google.com,referral,(referral),2,1,2,2,0
20250125,selfadjust.bdeo.es,referral,(referral),2,2,2,15,0
20250125,facebook,cpl,trafico_SegurosYap,5,2,5,6,1
20250125,google,organic,(organic),11,10,11,73,4
20250125,(not set),(not set),(not set),15,10,15,96,5
20250125,search,paid,moto-por-kilomertro,11,11,11,63,10
20250125,search,paid,auto-tradicional,19,19,19,174,19
20250125,search,paid,auto-por-kilometro,155,152,155,479,141
20250126,selfadjust.bdeo.es,referral,(referral),2,1,2,27,0
20250126,m.facebook.com,referral,(referral),1,1,1,29,1
20250126,accounts.google.com,referral,(referral),2,2,2,4,1
20250126,search,paid,moto-por-kilomertro,6,6,6,50,4
20250126,search,paid,auto-por-kilometro,227,227,227,577,221
20250126,google,organic,(organic),12,11,12,67,3
20250126,search,paid,auto-tradicional,27,26,27,424,25
20250126,(not set),(not set),(not set),10,8,10,142,6
20250127,tagassistant.google.com,referral,(referral),3,2,3,47,1
20250127,selfadjust.bdeo.es,referral,(referral),1,1,1,3,0
