Date,Clicks,Impressions,CTR,Position
2025-01-31,6,144,4.17%,19.2
2025-02-01,1,117,0.85%,21
2025-02-02,3,100,3%,22.5
2025-02-03,5,146,3.42%,21.7
2025-02-04,2,117,1.71%,20.1
2025-02-05,1,144,0.69%,20.5
2025-02-06,5,115,4.35%,17
2025-02-07,5,105,4.76%,17.3
2025-02-08,2,46,4.35%,18.8
2025-02-09,2,97,2.06%,24.4
2025-02-10,2,114,1.75%,17.1
2025-02-11,7,134,5.22%,19.5
2025-02-12,5,107,4.67%,19.4
2025-02-13,5,150,3.33%,20.7
2025-02-14,5,87,5.75%,20.5
2025-02-15,3,97,3.09%,25.7
2025-02-16,4,103,3.88%,23
2025-02-17,10,172,5.81%,20.1
2025-02-18,11,147,7.48%,15.2
2025-02-19,9,131,6.87%,20.5
2025-02-20,7,158,4.43%,17.3
2025-02-21,11,134,8.21%,19.2
2025-02-22,2,100,2%,17.5
2025-02-23,3,113,2.65%,20.6
2025-02-24,3,136,2.21%,15.7
2025-02-25,4,162,2.47%,19.3
2025-02-26,6,189,3.17%,15.1
2025-02-27,4,169,2.37%,19.3
2025-02-28,3,139,2.16%,17.3
2025-03-01,2,122,1.64%,19.3
2025-03-02,3,104,2.88%,16.2
2025-03-03,9,139,6.47%,13.4
2025-03-04,8,154,5.19%,15.2
2025-03-05,6,154,3.9%,18.3
2025-03-06,4,139,2.88%,21
2025-03-07,13,154,8.44%,19.4
2025-03-08,2,103,1.94%,24.7
2025-03-09,2,91,2.2%,21.7
2025-03-10,4,129,3.1%,17.8
2025-03-11,7,143,4.9%,16.6
2025-03-12,2,133,1.5%,18.8
2025-03-13,12,157,7.64%,24.7
2025-03-14,5,110,4.55%,21.8
2025-03-15,9,105,8.57%,23.6
2025-03-16,9,82,10.98%,23.1
2025-03-17,380,2762,13.76%,11.8
2025-03-18,117,2538,4.61%,15.9
2025-03-19,175,1245,14.06%,20.6
2025-03-20,29,544,5.33%,36.7
2025-03-21,19,323,5.88%,38.1
2025-03-22,3,259,1.16%,41.8
2025-03-23,3,131,2.29%,19.1
2025-03-24,9,247,3.64%,33.1
2025-03-25,5,324,1.54%,40
2025-03-26,1,203,0.49%,40.3
2025-03-27,0,319,0%,49.8
2025-03-28,1,103,0.97%,22
2025-03-29,0,95,0%,27.7
2025-03-30,0,72,0%,27
2025-03-31,4,100,4%,21.4
2025-04-01,9,126,7.14%,17.2
2025-04-02,7,96,7.29%,17.8
2025-04-03,6,167,3.59%,21.6
2025-04-04,6,120,5%,17.3
2025-04-05,2,147,1.36%,19
2025-04-06,1,111,0.9%,20.7
2025-04-07,8,163,4.91%,15.8
2025-04-08,4,111,3.6%,16.2
2025-04-09,8,155,5.16%,17.1
2025-04-10,6,151,3.97%,15.3
2025-04-11,1,133,0.75%,18.1
2025-04-12,0,110,0%,16.9
2025-04-13,6,138,4.35%,16.2
2025-04-14,4,149,2.68%,13.1
2025-04-15,2,130,1.54%,16.5
2025-04-16,1,119,0.84%,15.1
2025-04-17,2,111,1.8%,20.2
2025-04-18,1,108,0.93%,17.1
2025-04-19,4,119,3.36%,17.8
2025-04-20,9,112,8.04%,19.7
2025-04-21,9,181,4.97%,15.6
2025-04-22,5,134,3.73%,16.3
2025-04-23,12,178,6.74%,15.7
2025-04-24,6,170,3.53%,15.7
2025-04-25,3,145,2.07%,17
2025-04-26,8,104,7.69%,19.5
2025-04-27,2,120,1.67%,21.4
2025-04-28,8,144,5.56%,17.3
2025-04-29,17,188,9.04%,16.1
2025-04-30,12,174,6.9%,16.7
2025-05-01,3,150,2%,21.1
2025-05-02,10,150,6.67%,16.4
2025-05-03,2,107,1.87%,24
2025-05-04,4,132,3.03%,21.1
2025-05-05,7,202,3.47%,18
2025-05-06,6,151,3.97%,17.3
2025-05-07,8,210,3.81%,15.5
2025-05-08,1,152,0.66%,17.5
2025-05-09,2,138,1.45%,18.7
2025-05-10,1,108,0.93%,19.5
2025-05-11,1,143,0.7%,18.2
2025-05-12,3,195,1.54%,13.3
2025-05-13,1,92,1.09%,22.1
2025-05-14,4,187,2.14%,16.6
2025-05-15,5,228,2.19%,15.5
2025-05-16,8,198,4.04%,16
2025-05-17,0,169,0%,17.3
2025-05-18,1,125,0.8%,17.7
2025-05-19,2,200,1%,14.1
2025-05-20,5,165,3.03%,14.7
2025-05-21,0,183,0%,16.3
2025-05-22,6,175,3.43%,17.6
2025-05-23,5,171,2.92%,16.9
2025-05-24,5,142,3.52%,18.5
2025-05-25,1,163,0.61%,19
2025-05-26,8,177,4.52%,13.9
2025-05-27,4,184,2.17%,17.6
2025-05-28,4,197,2.03%,18.6
2025-05-29,4,177,2.26%,20.5
2025-05-30,2,149,1.34%,20.1
2025-05-31,5,136,3.68%,26.4
2025-06-01,0,145,0%,20.6
2025-06-02,7,168,4.17%,16
2025-06-03,7,167,4.19%,17.4
2025-06-04,6,208,2.88%,17.8
2025-06-05,3,168,1.79%,19.9
2025-06-06,6,207,2.9%,18.6
2025-06-07,3,138,2.17%,19.8
2025-06-08,1,128,0.78%,25.1
2025-06-09,6,171,3.51%,20.9
2025-06-10,13,152,8.55%,14.1
2025-06-11,4,132,3.03%,19.7
2025-06-12,5,107,4.67%,22.8
2025-06-13,6,129,4.65%,19.3
2025-06-14,5,85,5.88%,21.4
2025-06-15,1,88,1.14%,24.4
2025-06-16,3,114,2.63%,19.3
2025-06-17,6,160,3.75%,17
2025-06-18,9,120,7.5%,15.6
2025-06-19,6,149,4.03%,20.4
2025-06-20,3,153,1.96%,13.4
2025-06-21,4,149,2.68%,21
2025-06-22,3,145,2.07%,21.5
2025-06-23,3,244,1.23%,17.7
2025-06-24,8,170,4.71%,16.8
2025-06-25,5,200,2.5%,20.2
2025-06-26,5,172,2.91%,17.8
2025-06-27,12,148,8.11%,19.1
2025-06-28,4,140,2.86%,20
2025-06-29,1,185,0.54%,22.3
