CODPROD,NUMPOL,FECINIVIG,MTOOPER,CODPLAN,Mes
AUKM,483,2025-01-01 0:00:00,2345.79,2 MIL KM,1
AUKM,1545,2025-01-01 0:00:00,443.33,2 MIL KM,1
AUKM,931,2025-01-01 0:00:00,1285.86,4 MIL KM,1
AUKM,484,2025-01-01 0:00:00,2513.77,6 MIL KM,1
AUKM,1230,2025-01-04 0:00:00,789.93,2 MIL KM,1
AUKM,491,2025-01-04 0:00:00,533.34,2 MIL KM,1
AUKM,1550,2025-01-04 0:00:00,1600,6 MIL KM,1
AUKM,1551,2025-01-04 0:00:00,1600,6 MIL KM,1
AUKM,1552,2025-01-05 0:00:00,1025.44,4 MIL KM,1
AUKM,533,2025-01-06 0:00:00,1376.81,4 MIL KM,1
AUKM,1554,2025-01-07 0:00:00,609.92,2 MIL KM,1
AUKM,1560,2025-01-08 0:00:00,481.51,2 MIL KM,1
AUKM,1562,2025-01-08 0:00:00,967.8,2 MIL KM,1
AUKM,1555,2025-01-08 0:00:00,1955.69,4 MIL KM,1
AUKM,1556,2025-01-08 0:00:00,1066.67,4 MIL KM,1
AUKM,497,2025-01-08 0:00:00,1066.67,4 MIL KM,1
AUTO,501015,2025-01-08 0:00:00,8287.95,Todo Riesgo,1
AUKM,1568,2025-01-09 0:00:00,552.92,2 MIL KM,1
AUKM,1563,2025-01-09 0:00:00,1066.67,4 MIL KM,1
AUKM,1564,2025-01-09 0:00:00,1066.67,4 MIL KM,1
AUKM,1565,2025-01-09 0:00:00,1066.67,4 MIL KM,1
AUKM,1569,2025-01-09 0:00:00,1219.86,4 MIL KM,1
AUKM,1570,2025-01-10 0:00:00,1843.29,2 MIL KM,1
AUKM,1572,2025-01-10 0:00:00,1443.76,MOTO 3MIL KM,1
AUKM,1571,2025-01-11 0:00:00,1675.75,2 MIL KM,1
AUKM,1575,2025-01-14 0:00:00,533.34,2 MIL KM,1
AUKM,1040,2025-01-15 0:00:00,539.92,2 MIL KM,1
AUKM,1579,2025-01-15 0:00:00,533.42,2 MIL KM,1
AUKM,1578,2025-01-15 0:00:00,1066.67,4 MIL KM,1
AUKM,1576,2025-01-15 0:00:00,1581.05,6 MIL KM,1
AUKM,1581,2025-01-16 0:00:00,773.28,2 MIL KM,1
AUKM,1577,2025-01-16 0:00:00,1444.55,6 MIL KM,1
AUKM,1582,2025-01-17 0:00:00,1473.38,2 MIL KM,1
AUKM,1584,2025-01-17 0:00:00,443.33,2 MIL KM,1
AUKM,1583,2025-01-17 0:00:00,886.68,4 MIL KM,1
AUKM,1585,2025-01-17 0:00:00,1066.67,4 MIL KM,1
AUKM,459,2025-01-18 0:00:00,2324.77,6 MIL KM,1
AUKM,1588,2025-01-18 0:00:00,3695.65,6 MIL KM,1
AUKM,724,2025-01-19 0:00:00,2979.66,4 MIL KM,1
AUKM,540,2025-01-19 0:00:00,1279.86,4 MIL KM,1
AUKM,1596,2025-01-20 0:00:00,533.34,2 MIL KM,1
AUKM,532,2025-01-21 0:00:00,597.92,2 MIL KM,1
